MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_SCT,CensusBlockID_list,Zipcode_list,Ticket_list,Classification_list,Month,Year
May-2020,1451.02,1,145102,Census Tract 1451.02,Queens County,36081145102,[2006],[11361],['QL20003044'],['M'],5,2020
May-2020,1409.01,3,140901,Census Tract 1409.01,Queens County,36081140901,"[1001, 1000, 1001]","[11364, 11364, 11364]","['QL20003172', 'QL20003125', 'QL20002971']","['M', 'P', 'P']",5,2020
May-2020,1403.0,1,140300,Census Tract 1403,Queens County,36081140300,[1002],[11364],['QL20002920'],['P'],5,2020
May-2020,1385.02,1,138502,Census Tract 1385.02,Queens County,36081138502,[1019],[11362],['QL20003257'],['M'],5,2020
May-2020,1341.0,1,134100,Census Tract 1341,Queens County,36081134100,[2002],[11365],['QL20003113'],['M'],5,2020
May-2020,1291.03,1,129103,Census Tract 1291.03,Queens County,36081129103,[2001],[11364],['QL20003214'],['P'],5,2020
May-2020,1283.0,1,128300,Census Tract 1283,Queens County,36081128300,[1002],[11364],['QL20003081'],['M'],5,2020
May-2020,1257.0,1,125700,Census Tract 1257,Queens County,36081125700,[2008],[11366],['QL20003043'],['P'],5,2020
May-2020,1211.0,1,121100,Census Tract 1211,Queens County,36081121100,[1001],[11365],['QL20003022'],['M'],5,2020
May-2020,1191.0,1,119100,Census Tract 1191,Queens County,36081119100,[1005],[11355],['QL20002956'],['P'],5,2020
May-2020,1189.0,1,118900,Census Tract 1189,Queens County,36081118900,[1003],[11355],['QL20002949'],['M'],5,2020
May-2020,1161.0,1,116100,Census Tract 1161,Queens County,36081116100,[1002],[11354],['QL20002968'],['M'],5,2020
May-2020,1159.0,1,115900,Census Tract 1159,Queens County,36081115900,[2008],[11354],['QL20003091'],['P'],5,2020
May-2020,1157.0,1,115700,Census Tract 1157,Queens County,36081115700,[1010],[11354],['QL20002942'],['M'],5,2020
May-2020,1129.0,1,112900,Census Tract 1129,Queens County,36081112900,[2002],[11361],['QL20003068'],['P'],5,2020
May-2020,1123.0,1,112300,Census Tract 1123,Queens County,36081112300,[2008],[11361],['QL20002932'],['M'],5,2020
May-2020,1099.0,1,109900,Census Tract 1099,Queens County,36081109900,[2000],[11361],['QL20003021'],['M'],5,2020
May-2020,1059.0,1,105900,Census Tract 1059,Queens County,36081105900,[4000],[11357],['QL20003268'],['M'],5,2020
