,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
4326,2.14,50.49751243781093,42.16417910447761,11.318407960199005,6.8407960199004965,36061023802,5.2,100761,114301,938,85.7,14.3,3149,49.1,32.35947919974595
4327,2.45,41.689674213141906,38.65267807840972,11.706239646604084,0.0,36061024200,8.0,25273,43616,1905,95.1,4.9,4658,33.1,15.414340918849293
4328,2.49,44.09871244635193,34.012875536480685,10.085836909871244,1.3412017167381975,36061025700,5.5,82609,121765,2030,91.8,8.2,4637,35.6,11.99051110631874
4329,2.15,54.14522584333904,44.482561463693536,5.48885077186964,2.515723270440252,36061025900,5.0,73640,97530,1871,93.5,6.5,3773,38.6,13.093029419560033
4330,2.58,41.7617237008872,39.73384030418251,22.81368821292776,4.182509505703422,36061029900,14.2,20338,31956,1614,97.8,2.2,4072,42.6,13.654223968565816
4331,2.51,38.50291349170775,29.896907216494853,12.102196324518154,0.0,36061031703,3.1,250001,330244,2780,80.3,19.7,5593,35.3,16.985517611299837
4332,2.07,49.83402489626556,40.24896265560165,8.278008298755188,0.33195020746887965,36061031704,3.3,177646,234545,5629,85.6,14.4,9989,38.4,17.969766743417757
4333,2.0,57.44101633393829,52.9038112522686,27.40471869328493,0.0,36063022901,0.4,50500,51997,1177,93.6,6.4,2202,50.4,0.7266121707538601
4334,2.27,41.27691165553081,33.927245731254644,9.502598366740903,0.9651076466221232,36063022902,3.7,59866,70645,1436,93.8,6.2,3058,46.7,0.7194244604316548
4335,2.12,50.6442021803766,43.31020812685827,14.568880079286425,0.0,36063023001,10.0,40708,48012,1123,89.8,10.2,2135,40.3,1.5456674473067917
4336,2.54,32.127139364303176,25.23227383863081,10.757946210268948,0.0,36063023404,5.7,61875,82744,2255,90.7,9.3,5212,38.7,1.1128165771297005
4337,2.64,33.41094295692666,26.193247962747375,11.699650756693831,0.0,36103158011,3.1,107083,155683,1846,93.1,6.9,4575,45.4,1.4207650273224044
4338,2.46,20.94508301404853,19.667943805874838,8.173690932311622,0.7662835249042145,36103158322,4.6,128839,150869,835,93.8,6.2,1930,53.7,1.6062176165803108
